tab_name,sound_subcategory
Black grouper,Animal: Fish
Blue whales,Animal: Marine mammals
Bocaccio,Animal: Fish
Dolphins,Animal: Marine mammals
Echosounder,Human-made: Sonar
Echosounder,Human-made: Vessels
Explosions,Human-made: Explosions
Fin whales,Animal: Marine mammals
Fish chorus,Animal: Fish
Giant sea bass,Animal: Fish
Gray whales,Animal: Marine mammals
Humpback whales,Animal: Marine mammals
Hurricane,Physical: Hurricane
Louder,Soundscape Snapshot: Louder
Military sonar,Human-made: Sonar
Minke whales,Animal: Marine mammals
Nassau grouper,Animal: Fish
Plainfin midshipman,Animal: Fish
Quieter,Soundscape Snapshot: Quieter
Rain,Physical: Rain
Red grouper,Animal: Fish
Red hind,Animal: Fish
SCUBA bubbles,Human-made:
Sea lions,Animal: Marine mammals
Seal bombs,Human-made: Fishing
Snapping shrimp,Animal: Invertebrates
Sperm whales,Animal: Marine mammals
Vessels,Human-made: Vessels
Waves,Physical: Waves
Wind,Physical: Wind & waves
Wind & waves,Physical: Wind & waves
